CustomerID,FechaPrimeraCompra,FechaUltimaCompra,NumCompras,TotalGastado,MesesComoCliente,ValorPromedioCompra,FrecuenciaMensual,CLV,Cluster,Segmento,Recomendacion
18102.0,2009-12-01 09:24:00,2011-12-09 11:50:00,1058,608821.65,24.6,575.4457939508507,43.00813008130081,608821.65,2,Premium,Ofrecer productos exclusivos
14646.0,2009-12-02 16:52:00,2011-12-08 12:12:00,3849,528602.52,24.5,137.33502727981295,157.10204081632654,528602.52,2,Premium,Ofrecer productos exclusivos
14156.0,2009-12-01 12:30:00,2011-11-30 10:54:00,4048,313946.37,24.266666666666666,77.55592144268775,166.81318681318683,313946.37,2,Premium,Ofrecer productos exclusivos
14911.0,2009-12-01 11:41:00,2011-12-08 15:54:00,11245,295972.63,24.566666666666663,26.32037616718541,457.73405698778834,295972.6299999999,2,Premium,Ofrecer productos exclusivos
17450.0,2010-09-27 16:59:00,2011-12-01 13:29:00,424,246973.09,14.3,582.4837028301887,29.65034965034965,246973.09000000003,2,Premium,Ofrecer productos exclusivos
13694.0,2009-12-04 15:26:00,2011-12-06 09:32:00,1525,196482.81,24.366666666666667,128.8411868852459,62.58549931600547,196482.80999999997,1,Medio,Ofrecer productos complementarios
17511.0,2009-12-02 10:52:00,2011-12-07 10:12:00,1911,175603.55,24.466666666666665,91.89092098377812,78.10626702997276,175603.55,1,Medio,Ofrecer productos complementarios
16446.0,2011-05-18 09:52:00,2011-12-09 09:15:00,3,168472.5,6.8,56157.5,0.4411764705882353,168472.49999999997,1,Medio,Ofrecer productos complementarios
16684.0,2009-12-07 12:56:00,2011-12-05 14:06:00,718,147142.77,24.266666666666666,204.93422005571028,29.587912087912088,147142.76999999996,1,Medio,Ofrecer productos complementarios
12415.0,2010-06-30 08:30:00,2011-11-15 14:22:00,926,144458.37,16.766666666666666,156.00255939524837,55.22862823061631,144458.37,1,Medio,Ofrecer productos complementarios
15061.0,2009-12-01 12:18:00,2011-12-06 12:06:00,987,137818.52,24.466666666666665,139.6337588652482,40.34059945504087,137818.51999999996,1,Medio,Ofrecer productos complementarios
16029.0,2009-12-08 11:23:00,2011-11-01 10:27:00,383,122209.14,23.066666666666663,319.08391644908613,16.604046242774565,122209.13999999996,1,Medio,Ofrecer productos complementarios
17949.0,2009-12-02 11:07:00,2011-12-08 18:46:00,157,118628.08,24.53333333333333,755.5928662420382,6.39945652173913,118628.07999999999,1,Medio,Ofrecer productos complementarios
15311.0,2009-12-01 11:21:00,2011-12-09 12:00:00,4434,116771.16,24.6,26.335399188092016,180.2439024390244,116771.16000000002,1,Medio,Ofrecer productos complementarios
13089.0,2009-12-02 15:44:00,2011-12-07 09:02:00,3362,116737.86,24.466666666666665,34.72274241522903,137.41144414168937,116737.85999999997,1,Medio,Ofrecer productos complementarios
12931.0,2009-12-01 11:46:00,2011-11-18 12:39:00,218,92347.34,23.9,423.6116513761468,9.121338912133892,92347.34000000001,0,Bajo,Enviar descuentos
14298.0,2009-12-11 13:49:00,2011-12-01 13:12:00,2864,91194.49,23.966666666666665,31.84165153631285,119.49930458970792,91194.48999999999,1,Medio,Ofrecer productos complementarios
15769.0,2009-12-11 09:58:00,2011-12-02 13:52:00,224,88704.32,24.03333333333333,396.0014285714286,9.320388349514564,88704.32000000002,0,Bajo,Enviar descuentos
12346.0,2009-12-14 08:34:00,2011-01-18 10:01:00,34,77556.46,13.333333333333334,2281.0723529411766,2.55,77556.45999999999,0,Bajo,Enviar descuentos
13798.0,2009-12-08 16:21:00,2011-12-08 15:51:00,722,75836.87,24.3,105.037216066482,29.7119341563786,75836.87000000001,1,Medio,Ofrecer productos complementarios
15838.0,2009-12-15 09:51:00,2011-11-28 14:00:00,209,74163.0,23.766666666666666,354.8468899521531,8.79382889200561,74163.0,0,Bajo,Enviar descuentos
17841.0,2009-12-02 15:41:00,2011-12-08 12:07:00,12890,70884.07,24.5,5.499152055857254,526.1224489795918,70884.07,1,Medio,Ofrecer productos complementarios
16754.0,2010-03-08 11:32:00,2010-12-02 17:38:00,142,67502.47,8.966666666666667,475.36950704225353,15.836431226765798,67502.47,0,Bajo,Enviar descuentos
14096.0,2011-08-30 10:49:00,2011-12-05 17:17:00,5111,65164.79,3.2333333333333334,12.749909998043435,1580.721649484536,65164.79,3,Alto,Invitar a programa de fidelidad
14088.0,2010-10-14 19:46:00,2011-11-29 16:16:00,682,64036.8,13.666666666666666,93.89560117302054,49.90243902439025,64036.80000000002,1,Medio,Ofrecer productos complementarios
16422.0,2010-01-12 11:57:00,2011-11-22 14:00:00,712,63651.47,22.633333333333333,89.39813202247191,31.458026509572903,63651.47000000001,1,Medio,Ofrecer productos complementarios
13081.0,2009-12-08 13:58:00,2011-11-28 10:54:00,2354,59205.15,23.966666666666665,25.150870858113848,98.21974965229488,59205.150000000016,1,Medio,Ofrecer productos complementarios
16013.0,2009-12-08 10:24:00,2011-12-06 10:36:00,220,57446.44,24.266666666666666,261.12018181818183,9.065934065934066,57446.44,0,Bajo,Enviar descuentos
14680.0,2009-12-04 12:36:00,2011-11-14 16:59:00,1292,57412.77,23.666666666666668,44.437128482972135,54.59154929577465,57412.770000000004,1,Medio,Ofrecer productos complementarios
17389.0,2009-12-04 12:06:00,2011-12-09 09:38:00,431,57224.68,24.466666666666665,132.77187935034803,17.615803814713896,57224.68,0,Bajo,Enviar descuentos
17850.0,2009-12-05 12:28:00,2010-12-02 15:27:00,2796,56600.08,12.066666666666666,20.243233190271816,231.7127071823205,56600.08000000001,1,Medio,Ofrecer productos complementarios
12748.0,2009-12-04 17:31:00,2011-12-09 12:20:00,7228,56599.39,24.466666666666665,7.830574156059767,295.4223433242507,56599.389999999985,1,Medio,Ofrecer productos complementarios
13777.0,2009-12-02 09:47:00,2011-12-09 12:25:00,391,56478.42,24.566666666666663,144.44608695652173,15.915875169606512,56478.41999999998,0,Bajo,Enviar descuentos
13093.0,2009-12-04 10:32:00,2011-03-09 12:14:00,1050,54943.65,15.333333333333334,52.32728571428572,68.47826086956522,54943.650000000016,1,Medio,Ofrecer productos complementarios
13408.0,2009-12-04 09:31:00,2011-12-08 09:05:00,840,51733.462,24.433333333333334,61.58745476190476,34.37926330150068,51733.46199999999,1,Medio,Ofrecer productos complementarios
17404.0,2010-01-07 11:31:00,2011-12-05 16:26:00,292,47781.12,23.23333333333333,163.63397260273973,12.568149210903874,47781.119999999995,0,Bajo,Enviar descuentos
13881.0,2010-03-04 14:41:00,2011-12-06 12:50:00,457,45179.1,21.366666666666667,98.8601750547046,21.38845553822153,45179.1,0,Bajo,Enviar descuentos
15749.0,2011-01-11 12:55:00,2011-04-18 13:20:00,10,44534.3,3.2333333333333334,4453.43,3.09278350515464,44534.30000000002,0,Bajo,Enviar descuentos
16705.0,2009-12-09 13:34:00,2011-12-09 12:08:00,691,43515.051,24.3,62.97402460202605,28.436213991769545,43515.051,0,Bajo,Enviar descuentos
14031.0,2009-12-03 15:35:00,2011-12-02 17:13:00,781,40999.17,24.3,52.49573623559539,32.13991769547325,40999.17,0,Bajo,Enviar descuentos
15039.0,2009-12-10 11:39:00,2011-11-30 11:31:00,2792,40031.43,23.966666666666665,14.337904727793696,116.4951321279555,40031.43,1,Medio,Ofrecer productos complementarios
17381.0,2010-06-09 12:55:00,2011-12-01 11:59:00,174,40002.37,17.966666666666665,229.8986781609196,9.684601113172542,40002.37000000001,0,Bajo,Enviar descuentos
12471.0,2009-12-07 10:41:00,2011-12-07 15:43:00,1137,39963.79,24.33333333333333,35.148452066842566,46.72602739726028,39963.79,1,Medio,Ofrecer productos complementarios
15098.0,2011-06-10 15:22:00,2011-06-10 15:33:00,3,39916.5,1.0,13305.5,3.0,39916.5,0,Bajo,Enviar descuentos
16210.0,2009-12-02 12:54:00,2011-12-08 12:36:00,281,38489.51,24.5,136.97334519572954,11.46938775510204,38489.51,0,Bajo,Enviar descuentos
17675.0,2009-12-10 16:10:00,2011-12-08 18:03:00,1128,38259.6,24.266666666666666,33.918085106382975,46.48351648351648,38259.59999999999,1,Medio,Ofrecer productos complementarios
17677.0,2009-12-16 11:23:00,2011-12-08 09:56:00,712,36692.91,24.03333333333333,51.534985955056186,29.625520110957,36692.909999999996,0,Bajo,Enviar descuentos
12921.0,2009-12-01 13:43:00,2011-11-30 16:22:00,1534,35921.04,24.3,23.41658409387223,63.1275720164609,35921.04,1,Medio,Ofrecer productos complementarios
13767.0,2009-12-01 10:52:00,2011-12-07 15:00:00,795,35540.53,24.53333333333333,44.705069182389934,32.40489130434782,35540.52999999999,0,Bajo,Enviar descuentos
12678.0,2010-01-07 16:46:00,2011-10-28 13:04:00,376,34281.18,21.933333333333334,91.17335106382978,17.142857142857142,34281.17999999999,0,Bajo,Enviar descuentos
15856.0,2009-12-03 14:02:00,2011-12-05 17:09:00,1161,34220.340000000004,24.4,29.47488372093024,47.58196721311476,34220.34000000001,1,Medio,Ofrecer productos complementarios
13902.0,2009-12-15 10:02:00,2010-03-17 13:09:00,63,34095.26,3.066666666666667,541.1946031746032,20.543478260869563,34095.26,0,Bajo,Enviar descuentos
16779.0,2009-12-03 13:03:00,2011-12-07 14:54:00,1054,33268.24,24.466666666666665,31.56379506641366,43.07901907356949,33268.240000000005,0,Bajo,Enviar descuentos
14258.0,2009-12-04 08:36:00,2011-11-30 15:27:00,300,32051.34,24.2,106.8378,12.396694214876034,32051.34,0,Bajo,Enviar descuentos
17428.0,2009-12-01 17:28:00,2011-12-09 09:45:00,729,31819.76,24.566666666666663,43.6485048010974,29.674355495251017,31819.760000000002,0,Bajo,Enviar descuentos
12709.0,2009-12-09 13:49:00,2011-11-24 15:38:00,500,31093.34,23.83333333333333,62.18668,20.97902097902098,31093.339999999997,0,Bajo,Enviar descuentos
12681.0,2009-12-13 13:31:00,2011-11-25 11:33:00,1465,30868.28,23.7,21.07049829351536,61.81434599156118,30868.280000000002,1,Medio,Ofrecer productos complementarios
14606.0,2009-12-03 12:40:00,2011-12-08 19:28:00,6566,30861.06,24.5,4.70013097776424,268.0,30861.059999999998,1,Medio,Ofrecer productos complementarios
17940.0,2009-12-03 12:31:00,2011-10-21 13:27:00,36,30393.19,22.9,844.2552777777778,1.572052401746725,30393.19,0,Bajo,Enviar descuentos
13078.0,2009-12-01 09:06:00,2011-12-06 15:36:00,801,29532.45,24.5,36.86947565543071,32.69387755102041,29532.45,0,Bajo,Enviar descuentos
13098.0,2011-01-26 13:46:00,2011-12-08 14:14:00,572,28882.44,10.533333333333331,50.49377622377622,54.30379746835443,28882.439999999995,1,Medio,Ofrecer productos complementarios
17857.0,2010-03-08 12:09:00,2011-12-05 13:13:00,60,28682.24,21.23333333333333,478.0373333333334,2.82574568288854,28682.239999999998,0,Bajo,Enviar descuentos
14527.0,2009-12-02 12:06:00,2011-12-07 12:19:00,2701,27792.3,24.5,10.289633469085524,110.24489795918367,27792.300000000003,1,Medio,Ofrecer productos complementarios
15513.0,2010-01-13 14:59:00,2011-11-06 14:36:00,562,27750.55,22.03333333333333,49.378202846975086,25.50680786686837,27750.549999999985,0,Bajo,Enviar descuentos
16333.0,2011-02-03 10:50:00,2011-12-02 12:19:00,45,26626.8,10.066666666666666,591.7066666666667,4.470198675496689,26626.8,0,Bajo,Enviar descuentos
17865.0,2009-12-01 10:49:00,2011-11-09 12:08:00,1018,26374.39,23.6,25.90804518664047,43.13559322033898,26374.390000000003,0,Bajo,Enviar descuentos
18251.0,2009-12-22 12:01:00,2011-09-13 15:03:00,108,26278.86,21.0,243.3227777777778,5.142857142857143,26278.860000000004,0,Bajo,Enviar descuentos
13802.0,2010-02-16 10:11:00,2011-07-24 10:54:00,448,26259.11,17.433333333333334,58.61408482142857,25.697896749521988,26259.11,0,Bajo,Enviar descuentos
15498.0,2009-12-16 17:27:00,2011-12-07 12:48:00,971,26039.58,24.0,26.81728115345005,40.458333333333336,26039.58,0,Bajo,Enviar descuentos
12731.0,2010-03-02 09:23:00,2011-11-16 11:59:00,393,25775.71,20.8,65.58704834605598,18.89423076923077,25775.710000000003,0,Bajo,Enviar descuentos
14062.0,2009-12-10 14:28:00,2011-11-30 10:04:00,343,25604.2,23.966666666666665,74.64781341107872,14.311543810848402,25604.2,0,Bajo,Enviar descuentos
12744.0,2010-04-27 16:19:00,2011-10-19 11:18:00,339,25317.06,17.966666666666665,74.68159292035399,18.8682745825603,25317.060000000005,0,Bajo,Enviar descuentos
12939.0,2010-01-12 11:27:00,2011-10-06 14:33:00,86,25264.8,21.066666666666663,293.7767441860465,4.082278481012659,25264.8,0,Bajo,Enviar descuentos
14895.0,2009-12-10 14:22:00,2011-12-02 09:23:00,900,25119.54,24.03333333333333,27.9106,37.44798890429958,25119.539999999994,0,Bajo,Enviar descuentos
12621.0,2010-02-09 12:01:00,2011-12-08 11:25:00,770,24775.81,22.2,32.176376623376626,34.68468468468468,24775.81,0,Bajo,Enviar descuentos
16525.0,2009-12-02 13:53:00,2011-12-07 15:07:00,364,24582.64,24.5,67.53472527472528,14.857142857142858,24582.64,0,Bajo,Enviar descuentos
17920.0,2009-12-06 10:37:00,2011-12-05 14:29:00,1803,24516.46,24.3,13.59759290072102,74.19753086419753,24516.46,1,Medio,Ofrecer productos complementarios
13001.0,2009-12-03 16:21:00,2011-12-05 14:51:00,1026,24172.1,24.366666666666667,23.55955165692008,42.10670314637483,24172.1,0,Bajo,Enviar descuentos
14607.0,2009-12-15 11:25:00,2011-11-24 10:35:00,209,24137.63,23.6,115.49105263157897,8.85593220338983,24137.630000000005,0,Bajo,Enviar descuentos
12682.0,2009-12-01 09:28:00,2011-12-06 10:00:00,1039,24033.91,24.5,23.13177093358999,42.40816326530612,24033.91,0,Bajo,Enviar descuentos
